Ticker,Score,Cor,Setor
LEN,36.78,vermelho,Consumer Cyclicals.csv
KHC,36.5,vermelho,Consumer Non-Cyclicals.csv
ISRG,36.5,vermelho,Healthcare.csv
GOLD,36.49,vermelho,Basic Materials.csv
TDG,36.31,vermelho,INDUSTRIA.csv
SQM,36.27,vermelho,Basic Materials.csv
EBR,36.26,vermelho,Utilities.csv
VTR,35.5,vermelho,Real Estate.csv
ABBV,35.5,vermelho,Healthcare.csv
SPGI,35.46,vermelho,INDUSTRIA.csv
BX,35.44,vermelho,Financials.csv
WMT,35.42,vermelho,Consumer Non-Cyclicals.csv
SYK,35.41,vermelho,Healthcare.csv
ITW,35.41,vermelho,Consumer Non-Cyclicals.csv
CF,35.39,vermelho,Basic Materials.csv
WPM,35.26,vermelho,Basic Materials.csv
PCAR,35.15,vermelho,INDUSTRIA.csv
MCO,35.05,vermelho,INDUSTRIA.csv
SUZ,35.0,vermelho,Basic Materials.csv
JD,34.92,vermelho,Consumer Cyclicals.csv
C,34.63,vermelho,Financials.csv
LTM,34.55,vermelho,INDUSTRIA.csv
LINC,34.36,vermelho,Academic & Educational Services.csv
AXON,34.0,vermelho,INDUSTRIA.csv
PLTR,33.5,vermelho,Technology.csv
COF,33.5,vermelho,Financials.csv
DAL,33.03,vermelho,INDUSTRIA.csv
CCI,32.5,vermelho,Real Estate.csv
MO,32.39,vermelho,Consumer Non-Cyclicals.csv
RYAAY,32.21,vermelho,INDUSTRIA.csv
BHP,31.84,vermelho,Basic Materials.csv
TECK,31.75,vermelho,Basic Materials.csv
KGC,31.66,vermelho,Basic Materials.csv
DD,31.5,vermelho,Basic Materials.csv
WAFU,31.5,vermelho,Academic & Educational Services.csv
MRVL,31.0,vermelho,Technology.csv
GOTU,31.0,vermelho,Academic & Educational Services.csv
HEI,30.5,vermelho,INDUSTRIA.csv
SKIL,30.25,vermelho,Academic & Educational Services.csv
BSX,29.87,vermelho,Healthcare.csv
PWR,29.71,vermelho,INDUSTRIA.csv
QSG,29.02,vermelho,Academic & Educational Services.csv
YQ,29.0,vermelho,Academic & Educational Services.csv
ZG,29.0,vermelho,Real Estate.csv
Z,29.0,vermelho,Real Estate.csv
BN,28.0,vermelho,Financials.csv
BEDU,28.0,vermelho,Academic & Educational Services.csv
UAL,26.98,vermelho,INDUSTRIA.csv
DOW,26.75,vermelho,Basic Materials.csv
EEIQ,26.75,vermelho,Academic & Educational Services.csv
KKR,26.75,vermelho,Financials.csv
STG,26.23,vermelho,Academic & Educational Services.csv
BEP,26.0,vermelho,Utilities.csv
BA,24.75,vermelho,INDUSTRIA.csv
WBD,24.0,vermelho,Consumer Cyclicals.csv
EDTK,24.0,vermelho,Academic & Educational Services.csv
LXEH,23.0,vermelho,Academic & Educational Services.csv
ZCMD,22.75,vermelho,Academic & Educational Services.csv
MSTR,22.0,vermelho,Technology.csv
TAL,19.5,vermelho,Academic & Educational Services.csv
FEDU,19.0,vermelho,Academic & Educational Services.csv
ADD,17.0,vermelho,Academic & Educational Services.csv
JZ,17.0,vermelho,Academic & Educational Services.csv
GSUN,16.5,vermelho,Academic & Educational Services.csv
COE,14.5,vermelho,Academic & Educational Services.csv
